failed;=COUNTIF(B9:B290, "x");=COUNTIF(C9:C290, "x");=COUNTIF(D9:D290, "x");=COUNTIF(E9:E290, "x");=COUNTIF(F9:F290, "x");=COUNTIF(G9:G290, "x");=COUNTIF(H9:H290, "x");=COUNTIF(I9:I290, "x");=COUNTIF(J9:J290, "x");=COUNTIF(K9:K290, "x");=COUNTIF(L9:L290, "x");=COUNTIF(M9:M290, "x");=COUNTIF(N9:N290, "x");=COUNTIF(O9:O290, "x");=COUNTIF(P9:P290, "x");=COUNTIF(Q9:Q290, "x");=COUNTIF(R9:R290, "x");=COUNTIF(S9:S290, "x");=COUNTIF(T9:T290, "x");=COUNTIF(U9:U290, "x");=COUNTIF(V9:V290, "x");=COUNTIF(W9:W290, "x");=COUNTIF(X9:X290, "x");=COUNTIF(Y9:Y290, "x");=COUNTIF(Z9:Z290, "x");=COUNTIF(AA9:AA290, "x");=COUNTIF(AB9:AB290, "x");=COUNTIF(AC9:AC290, "x");
pass;=SUM(B9:B290);=SUM(C9:C290);=SUM(D9:D290);=SUM(E9:E290);=SUM(F9:F290);=SUM(G9:G290);=SUM(H9:H290);=SUM(I9:I290);=SUM(J9:J290);=SUM(K9:K290);=SUM(L9:L290);=SUM(M9:M290);=SUM(N9:N290);=SUM(O9:O290);=SUM(P9:P290);=SUM(Q9:Q290);=SUM(R9:R290);=SUM(S9:S290);=SUM(T9:T290);=SUM(U9:U290);=SUM(V9:V290);=SUM(W9:W290);=SUM(X9:X290);=SUM(Y9:Y290);=SUM(Z9:Z290);=SUM(AA9:AA290);=SUM(AB9:AB290);=SUM(AC9:AC290);
total run;=COUNTA(B9:B290);=COUNTA(C9:C290);=COUNTA(D9:D290);=COUNTA(E9:E290);=COUNTA(F9:F290);=COUNTA(G9:G290);=COUNTA(H9:H290);=COUNTA(I9:I290);=COUNTA(J9:J290);=COUNTA(K9:K290);=COUNTA(L9:L290);=COUNTA(M9:M290);=COUNTA(N9:N290);=COUNTA(O9:O290);=COUNTA(P9:P290);=COUNTA(Q9:Q290);=COUNTA(R9:R290);=COUNTA(S9:S290);=COUNTA(T9:T290);=COUNTA(U9:U290);=COUNTA(V9:V290);=COUNTA(W9:W290);=COUNTA(X9:X290);=COUNTA(Y9:Y290);=COUNTA(Z9:Z290);=COUNTA(AA9:AA290);=COUNTA(AB9:AB290);=COUNTA(AC9:AC290);
pass rate;=IF(B5=0, "N/A",B5/B6);=IF(C5=0, "N/A",C5/C6);=IF(D5=0, "N/A",D5/D6);=IF(E5=0, "N/A",E5/E6);=IF(F5=0, "N/A",F5/F6);=IF(G5=0, "N/A",G5/G6);=IF(H5=0, "N/A",H5/H6);=IF(I5=0, "N/A",I5/I6);=IF(J5=0, "N/A",J5/J6);=IF(K5=0, "N/A",K5/K6);=IF(L5=0, "N/A",L5/L6);=IF(M5=0, "N/A",M5/M6);=IF(N5=0, "N/A",N5/N6);=IF(O5=0, "N/A",O5/O6);=IF(P5=0, "N/A",P5/P6);=IF(Q5=0, "N/A",Q5/Q6);=IF(R5=0, "N/A",R5/R6);=IF(S5=0, "N/A",S5/S6);=IF(T5=0, "N/A",T5/T6);=IF(U5=0, "N/A",U5/U6);=IF(V5=0, "N/A",V5/V6);=IF(W5=0, "N/A",W5/W6);=IF(X5=0, "N/A",X5/X6);=IF(Y5=0, "N/A",Y5/Y6);=IF(Z5=0, "N/A",Z5/Z6);=IF(AA5=0, "N/A",AA5/AA6);=IF(AB5=0, "N/A",AB5/AB6);=IF(AC5=0, "N/A",AC5/AC6);
;;
octopus-kernelnext (apel);;;;;;1;;;;;x;;x;;;;x;;x;;;x;;;;x;;;
octopus-kernelnext (bloog);;;;1;;;;;;;x;;x;;;;;;;;;x;;x;;x;;x;
octopus-kernelnext (blooglet);;;;;;;;;;;x;;x;;x;;x;;x;;;x;;x;;x;;;
octopus-kernelnext (blooguard);;;;1;;1;;;;;;;x;;;;;;;;;;;;;;;;
octopus-kernelnext (blorb);;;;1;;1;;;;;x;;x;;x;;;;x;;;;;;;x;;x;
octopus-kernelnext (bluebird);;;;1;;1;;;;;x;;x;;x;;;;x;;;x;;;;;;;
octopus-kernelnext (bobba);;;;1;;1;;;;;x;;x;;;;;;;;;;;;;;;;
octopus-kernelnext (bobba360);;;;1;;1;;;;;x;;x;;x;;;;;;;x;;x;;;;x;
octopus-kernelnext (casta);;;;1;;1;;;;;x;;x;;;;x;;;;;;;x;;;;;
octopus-kernelnext (dood);;;;;;;;;;;x;;x;;;;x;;;;;x;;x;;;;;
octopus-kernelnext (dorp);;;;1;;1;;;;;x;;;;;;;;;;;x;;;;x;;x;
octopus-kernelnext (droid);;;;1;;1;;;;;x;;x;;;;;;x;;;x;;x;;x;;x;
octopus-kernelnext (fleex);;;;1;;x;;;;;x;;x;;;;;;;;;;;;;x;;;
octopus-kernelnext (foob);;;;1;;1;;;;;x;;x;;x;;;;;;;;;;;x;;x;
octopus-kernelnext (foob360);;;;1;;;;;;;x;;;;x;;;;;;;x;;;;;;x;
octopus-kernelnext (garfour);;;;1;;1;;;;;x;;x;;;;x;;x;;;;;x;;;;;
octopus-kernelnext (garg);;;;1;;1;;;;;x;;;;x;;;;;;;;;x;;x;;;
octopus-kernelnext (garg360);;;;1;;1;;;;;x;;x;;x;;;;;;;;;;;;;x;
octopus-kernelnext (grabbiter);;;;1;;1;;;;;x;;;;x;;;;x;;;;;x;;x;;x;
octopus-kernelnext (laser14);;;;1;;1;;;;;x;;x;;x;;x;;;;;x;;x;;x;;;
octopus-kernelnext (lick);;;;1;;1;;;;;x;;;;x;;;;x;;;;;x;;;;;
octopus-kernelnext (meep);;;;;;;;;;;;;;;;;;;;;;x;;x;;x;;;
octopus-kernelnext (mimrock);;;;1;;;;;;;x;;;;;;x;;x;;;x;;x;;x;;;
octopus-kernelnext (nospike);;;;;;1;;;;;;;x;;x;;x;;;;;;;x;;x;;;
octopus-kernelnext (orbatrix);;;;1;;1;;;;;x;;;;x;;;;;;;;;x;;;;x;
octopus-kernelnext (phaser);;;;1;;1;;;;;x;;;;x;;;;;;;x;;;;x;;x;
octopus-kernelnext (phaser360);;;;;;1;;;;;x;;;;x;;;;x;;;;;;;;;;
octopus-kernelnext (sparky);;;;1;;1;;;;;x;;x;;x;;x;;x;;;x;;;;x;;;
octopus-kernelnext (sparky360);;;;;;1;;;;;x;;;;x;;;;;;;;;;;x;;x;
octopus-kernelnext (vorticon);;;;1;;;;;;;x;;x;;x;;x;;x;;;;;x;;;;;
octopus-kernelnext (vortininja);;;;1;;1;;;;;x;;x;;;;x;;x;;;x;;x;;;;x;
puff (dooly);;;;;x;;;;;;;x;;x;;;;;;;x;;;;;;;;
puff (duffy);;;x;;x;;;;;;;x;;;;;;;;;x;;;;;;;;
puff (faffy);;;x;;x;;;;;;;;;x;;;;;;;;;;;;;x;;
puff (kaisa);;;;;x;;;;;;;x;;;;x;;;;;x;;x;;;;x;;
puff (noibat);;;x;;x;;;;;;;x;;x;;;;x;;;;;x;;;;x;;
puff;;;;;;;;;;;;x;;x;;;;;;;x;;x;;;;;;
puff (wyvern);;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;
rammus (shyvana);;;1;;1;;1;;;;;x;;;;;;x;;x;;;;;;;x;;
rammus-arc-r (shyvana);;;;;;1;;;;;x;;;;x;;;;;;;x;;;;;;;
sarien (arcada);;;1;;1;;;;;;;x;;;;;;;;;;;;;;;;;
sarien;;;;;1;;1;;;;;x;;;;;;x;;;;;;;;;;;
scarlet (dru);;;;;;;;;;x;x;;;;x;;;;;;;;;;;;;;
scarlet (dumo);;;;;;;;;;x;x;;x;;x;;;;;;;;;;;;;;
scarlet-kernelnext (dru);;;;;;;;;;x;x;;x;;;;x;;;;;x;;;;x;;x;
scarlet-kernelnext (druwl);;;;;;;;;;;x;;x;;;;x;;;;;x;;x;;x;;x;
scarlet-kernelnext (dumo);;;;;;;;;;x;;;x;;x;;;;x;;;;;;;;;x;
snappy-kernelnext (snappy);;;;1;;;;1;;x;x;;;;;;;;x;;;;;x;;;;;
soraka;;;;;;;1;;;;;;;;;;;x;;;;;;;x;;;;
strongbad (coachz);;;;;;;;;;;x;;x;;x;;x;;;;;x;x;x;;x;;;
strongbad (mrbland);;;;;;;;;;;x;;x;;;;;;;;;;;;;;;;
strongbad (quackingstick);;;;;;;;;;;;;;;;;;;;;;;;x;;;;;
strongbad (wormdingler);;;;;;;;;;;x;;x;x;;;x;;;;;;;;;;;;
strongbad-kernelnext (coachz);;;;;;;;;;;x;;;;;;x;;x;;;x;;;;x;;x;
trogdor (lazor);;;;;;;;;;;x;x;;x;;;x;;;;;;;x;;x;;x;
trogdor (limozeen);;;;;;;;;;;x;;x;;;;x;;;;;;;x;;x;;;
trogdor (pazquel);;;;;;;;;;;;;;;;;x;;;;;;;;;;;x;
trogdor (pompom);;;;;;;;;;;x;;;;;;x;;;;;;;x;;x;;;
trogdor-arc-r (pompom);;;;;;;;;;;x;;;;x;;;;;;;x;;x;;x;;;
trogdor-kernelnext (lazor);;;;;;;;;;;x;;;;x;;;;x;;;;;x;;x;;;
trogdor-kernelnext (limozeen);;;;;;;;;;;x;;;;x;;x;;x;;;;;;;;;;
trogdor-kernelnext (pompom);;;;;;;;;;;x;;;;x;;;;;;;x;;x;;x;;;
trogdor64 (lazor);;;;;;;;;;;x;;;;;;;;;;;x;;x;;x;;x;
volteer (chronicler);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (collis);;;;;;;;;;;;;;;;x;;;;;;;;;;;x;;
volteer (copano);;;1;;;;;;;;;;;x;;;;;;;x;;x;;;;;;
volteer (delbin);;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
volteer (drobit);;;;;1;;;;;;;;;;;;;x;;x;;;;;;;;;
volteer (eldrid);;;1;;;;;;;;;x;;x;;x;;;;;x;;;;;;;;
volteer (elemi);;;1;;1;;;;;;;;;x;;;;;;;;;;;x;;x;;
volteer (lillipup);;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
volteer (lindar);;;;;;;;;;;;;;;;;;;;;;;;;;;x;;
volteer (voema);;;1;;1;;;;;;;;;;;;;;;;x;;;;;;;;
volteer (volet);;;1;;;;;;;;;;;;;;;;;;;;;;;;x;;
volteer (volta);;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;
volteer (volteer2);;;1;;;;;;;;;;;;;;;;;x;;;;;;;;;
volteer (voxel);;;;;;;;;;;;;;x;;;;;;;;;;;x;;;;
volteer-kernelnext (volteer2);;;;1;;1;;;;;;;;;;;;;;;;;;;;x;;x;
zork (berknip);;;1;1;1;1;1;;;;x;x;x;x;x;;;x;;;x;x;x;;;x;;;
zork (dirinboz);;;;;;1;;;;;x;;x;;;;x;;;;;;;;;x;;;
zork (ezkinil);;;1;1;1;1;;;;;x;;x;x;;x;x;;;x;;;;;;x;;x;
zork (gumboz);;;;1;;1;;;;;x;;;;x;;;x;;;;x;;;;x;;x;
zork (jelboz);;;;1;;1;;;;;;;;x;x;;;;x;x;;x;;x;;x;;;
zork (jelboz360);;;;;1;1;1;;;;x;;x;;;x;x;;x;;;x;;x;;;;;
zork (morphius);;;;1;;1;1;;;;x;;x;;x;;x;x;x;;;;;x;x;x;;;
zork (vilboz);;;;1;1;1;;;;;x;;;;;;;;x;;;x;;x;;;;;
zork (vilboz14);;;1;1;;1;;;;;x;;;;x;;;;x;;;x;;x;;;;;
zork (vilboz360);;;1;;;1;;;;;x;;;;x;;x;;x;;;x;;;;x;;;
zork (woomax);;;1;1;;1;;;;;x;;x;;x;;x;;;;;;;;;x;;;
zork-arc-r (berknip);;;;1;;;;;;;x;;x;;;;x;;x;;;;;;;;;;
zork-arc-r (vilboz);;;;1;;1;;;;;x;;x;;x;;x;;x;;;x;;x;;x;;;
zork-kernelnext (ezkinil);;;;1;;1;;;;;x;;;;x;;;;x;;;;;x;;;;;
